"municipio","cod_comunidad","comunidad","cod_calle","nombre_calle"
MP. DIAZ,"15-2-1-150201010-1",LAS BARRANCAS,"15-2-1-150201010-1PROV/1",CALLEJON DON MANUEL
MP. DIAZ,"15-2-1-150201022-4",LAS MARITAS SECTOR C,"15-2-1-150201022-4PROV/1",CALLE FRANCISCO FUENTE
MP. DIAZ,"15-2-1-150201020-1",EL YAQUE,"15-2-1-150201020-1PROV/1",CALLE VICTORIANO BERMUDEZ
MP.PENIN. DE MACANAO,"15-7-2-150702002-3",GUADALUPE,"15-7-2-150702002-3PROV/1",CALLE GUADALUPE
MP. MARIÑO,"15-6-1-150601041-3",CAMPOMAR MANZANA II,"15-6-1-150601041-3PROV/1",BLOQUE 2
MP. DIAZ,"15-2-2-150202014-1",NUESTRA ESPERANZA,"15-2-2-150202014-1PROV/1",CALLE CORAZON DE JESUS Y CALLE PORLAMR Y CALLE PAEZ
MP. MARIÑO,"15-6-1-150601016-3",EDIFICIOS BELLA VISTA LA PLAYA,"15-6-1-150601016-3PROV/1","EDIF DUMAR, AV BOLIVAR, LAGUNA SUIT 1 Y 2, LA ISLA"
MP. DIAZ,"15-2-1-150201011-4",LOS BAGRES NORTE,"15-2-1-150201011-4PROV/2",CALLE FUENTES
MP. DIAZ,"15-2-1-150201011-4",LOS BAGRES NORTE,"15-2-1-150201011-4PROV/1",CALLE JUAN CANCIO
MP. DIAZ,"15-2-1-150201014-7",COTOPERIZ I,"15-2-1-150201014-7PROV/4",ARISMENDI Y SUCRE- Y AMERICAS B
MP. DIAZ,"15-2-1-150201014-7",COTOPERIZ I,"15-2-1-150201014-7PROV/3",CALLE SOUBLETT CON CALLE H
MP. DIAZ,"15-2-1-150201014-7",COTOPERIZ I,"15-2-1-150201014-7PROV/2",AV LAS AMÉRICAS CON CALLE Y MIRANDA
MP. DIAZ,"15-2-1-150201014-7",COTOPERIZ I,"15-2-1-150201014-7PROV/1",CALLE VIRGEN DEL VALLE CON C Y D
MP. DIAZ,"15-2-2-150202007-3",LA NORIA,"15-2-2-150202007-3PROV/1",CALLE PEDRO LUIS BRICEÑO Y CALLE EL LICEO
MP. DIAZ,"15-2-2-150202008-1",BRISAS DEL VALLE,"15-2-2-150202008-1PROV/1",CALLE MANEIRO
MP. MARCANO,"15-5-1-150501006-5",ALBERTO LOVERA,"15-5-1-150501006-5PROV/1",CALLE 3
MP. DIAZ,"15-2-2-150202002-2",ANDRES BELLO,"15-2-2-150202002-2PROV/1",CALLE BELLO MONTE 1-2
MP.VILLALBA(I.COCHE),"15-8-1-150801001-2",BOTON LOS MEDIOS LA PLAZA,"15-8-1-150801001-2PROV/1",COLÓN
MP.VILLALBA(I.COCHE),"15-8-1-150801001-1",PUNTA HONDA PROGRESO OLIVO,"15-8-1-150801001-1PROV/2",EL PROGRESO ABAJO
MP.VILLALBA(I.COCHE),"15-8-1-150801001-1",PUNTA HONDA PROGRESO OLIVO,"15-8-1-150801001-1PROV/1",PUNTA HONDA ARRIBA SECTOR B
MP.VILLALBA(I.COCHE),"15-8-2-150802003-1",EL GUAMACHE ISLA DE COCHE,"15-8-2-150802003-1PROV/4",CERRO LA CRUZ
MP. TUBORES,"15-9-1-150901012-1",LA BLANQUILLA B,"15-9-1-150901012-1PROV/1",CALLE 1 - VEREDA 2
MP. TUBORES,"15-9-2-150902005-1",LAS MARVALES,"15-9-2-150902005-1PROV/1",CORRALEJA
MP. TUBORES,"15-9-1-150901016-1",ARAPANOS,"15-9-1-150901016-1PROV/1",CALLE URBANISMO 1
